1,y,SWIFTJ0001.0-0708,0.22826567,-7.16421807,7.73,2MASXJ00004876-0709117,0.2032,-7.1532,0.2032337,-7.1532227,Sy1.9,TRUE
2,y,SWIFTJ0001.6-7701,0.4453023,-77.0003105,6.32,2MASXJ00014596-7657144,0.4419,-76.954,0.4420348,-76.953963,Sy1,TRUE
3,y,SWIFTJ0002.5+0323,0.61264578,3.36496155,5.5,NGC7811,0.6103,3.3519,0.610105,3.3519118,Sy1.5,TRUE
4,y,SWIFTJ0003.3+2737,0.85635079,27.64336602,5.98,2MASXJ00032742+2739173,0.8643,27.6548,0.8642482,27.6547253,Sy2,TRUE
5,y,SWIFTJ0005.0+7021,0.93403447,70.35778508,8.52,2MASXJ00040192+7019185,1.0082,70.3217,1.0082414,70.3217522,Sy2,TRUE
12,y,SWIFTJ0025.2+6410,6.32620647,64.14233429,11.13,Tycho SNR,6.284,64.165,#N/A,#N/A,SNR,FALSE
